Date,Day of Week,Sales
2007-11-12,Monday,399.0
2012-03-18,Sunday,584.5
2011-06-08,Wednesday,755.35
2009-03-16,Monday,443.25
2007-11-17,Saturday,612.75
2011-06-07,Tuesday,720.1
2012-02-10,Friday,495.2
2009-03-15,Sunday,393.5
2007-11-18,Sunday,527.75
2009-03-14,Saturday,755.0
2011-06-06,Monday,449.95
2011-10-11,Tuesday,533.9
2007-11-15,Thursday,416.0
2011-06-05,Sunday,648.95
2009-05-05,Tuesday,687.0
2007-11-16,Friday,489.75
2011-10-12,Wednesday,872.45
2008-05-26,Monday,768.5
2012-03-14,Wednesday,233.5
2011-06-04,Saturday,693.9
2009-05-06,Wednesday,447.0
2009-05-03,Sunday,696.25
2009-05-04,Monday,348.25
2008-05-25,Sunday,939.25
2012-03-15,Thursday,348.75
2011-07-24,Sunday,1088.0
2009-05-09,Saturday,1300.04
2008-05-24,Saturday,786.5
2011-10-07,Friday,1164.7
2011-06-13,Monday,849.55
2008-05-23,Friday,883.7
2009-05-10,Sunday,1490.5
2011-10-08,Saturday,1039.7
2011-06-12,Sunday,1035.9
2008-05-30,Friday,1080.45
2010-12-17,Friday,300.6
2009-05-07,Thursday,918.75
2011-10-09,Sunday,1049.3
2010-12-18,Saturday,380.35
2008-05-29,Thursday,1004.42
2010-12-15,Wednesday,357.4
2009-05-08,Friday,1321.25
2008-05-28,Wednesday,598.5
2011-10-10,Monday,349.0
2010-12-16,Thursday,405.9
2009-05-11,Monday,797.5
2008-05-27,Tuesday,567.5
2011-10-03,Monday,182.2
2010-12-21,Tuesday,433.2
2009-05-12,Tuesday,637.5
2011-10-04,Tuesday,344.7
2010-12-22,Wednesday,331.35
2008-06-01,Sunday,1042.0
2008-11-15,Saturday,1020.5
2011-10-05,Wednesday,269.1
2008-05-31,Saturday,1250.8
2010-12-19,Sunday,486.4
2008-11-16,Sunday,639.25
2011-10-06,Thursday,358.75
2010-12-20,Monday,333.95
2008-08-22,Friday,954.75
2008-11-13,Thursday,393.25
2012-02-12,Sunday,591.7
2011-03-11,Friday,652.35
2008-08-21,Thursday,1065.7
2008-11-14,Friday,669.25
2011-03-10,Thursday,342.45
2008-08-24,Sunday,770.0
2012-02-11,Saturday,833.0
2008-11-19,Wednesday,312.25
2010-12-23,Thursday,483.2
2008-02-25,Monday,381.0
2011-12-15,Thursday,347.7
2008-11-20,Thursday,334.0
2010-12-24,Friday,431.1
2008-11-17,Monday,408.25
2008-08-26,Tuesday,889.25
2011-12-16,Friday,589.95
2011-03-07,Monday,286.35
2008-08-25,Monday,927.0
2008-11-18,Tuesday,287.25
2011-12-13,Tuesday,240.25
2011-03-06,Sunday,255.8
2008-11-21,Friday,600.25
2011-12-14,Wednesday,368.7
2011-03-09,Wednesday,535.9
2008-08-28,Thursday,917.0
2008-11-22,Saturday,640.25
2011-12-19,Monday,295.15
2011-03-08,Tuesday,383.3
2011-12-20,Tuesday,360.7
2010-03-07,Sunday,1095.95
2010-08-05,Thursday,601.2
2008-08-27,Wednesday,861.5
2010-03-08,Monday,406.55
2010-08-04,Wednesday,623.05
2011-12-17,Saturday,444.45
2008-08-30,Saturday,1106.7
2009-09-11,Friday,1071.5
2008-08-29,Friday,905.75
2010-07-28,Wednesday,627.4
2011-12-18,Sunday,316.95
2012-03-11,Sunday,702.15
2010-07-27,Tuesday,497.1
2008-03-21,Friday,1055.25
2009-09-10,Thursday,710.75
2011-12-21,Wednesday,410.15
2009-07-23,Thursday,716.75
2008-03-20,Thursday,646.2
2010-07-30,Friday,899.15
2010-07-29,Thursday,514.6
2011-12-22,Thursday,449.2
2008-03-19,Wednesday,464.55
2010-08-01,Sunday,741.6
2009-07-22,Wednesday,766.5
2008-03-18,Tuesday,460.75
2010-07-31,Saturday,1133.6
2012-03-06,Tuesday,380.95
2008-03-17,Monday,538.2
2009-07-25,Saturday,1014.5
2009-07-24,Friday,931.25
2008-03-16,Sunday,830.95
2012-01-03,Tuesday,371.65
2010-08-03,Tuesday,632.0
2011-10-02,Sunday,783.9
2010-08-02,Monday,624.9
2008-03-15,Saturday,929.5
2009-07-27,Monday,820.75
2011-10-01,Saturday,1017.7
2011-07-18,Monday,802.75
2008-03-14,Friday,704.45
2009-07-26,Sunday,1054.5
2011-07-17,Sunday,1416.57
2009-07-29,Wednesday,865.5
2008-09-29,Monday,515.25
2012-03-05,Monday,477.65
2009-07-28,Tuesday,666.0
2008-09-08,Monday,349.25
2010-05-23,Sunday,1037.15
2012-03-04,Sunday,1253.25
2009-07-31,Friday,1003.0
2008-09-09,Tuesday,337.25
2010-05-22,Saturday,839.0
2009-07-30,Thursday,710.5
2012-03-07,Wednesday,414.25
2008-03-23,Sunday,1025.95
2010-05-25,Tuesday,178.4
2009-12-24,Thursday,462.55
2008-03-22,Saturday,1129.6
2012-01-02,Monday,626.1
2009-12-26,Saturday,288.32
2008-09-26,Friday,826.75
2010-05-24,Monday,511.9
2011-09-26,Monday,533.8
2009-12-22,Tuesday,597.95
2011-09-25,Sunday,478.65
2008-09-27,Saturday,1003.25
2010-10-13,Wednesday,630.55
2009-09-19,Saturday,1179.25
2011-09-24,Saturday,1051.75
2010-10-14,Thursday,589.3
2008-09-25,Thursday,699.75
2011-09-23,Friday,1198.95
2009-12-20,Sunday,381.9
2008-09-23,Tuesday,772.0
2011-09-30,Friday,877.8
2010-05-21,Friday,767.4
2009-12-21,Monday,301.15
2011-09-29,Thursday,517.5
2010-05-20,Thursday,691.7
2007-06-19,Tuesday,815.0
2010-10-09,Saturday,1144.45
2009-06-06,Saturday,1162.75
2011-09-28,Wednesday,939.85
2007-09-09,Sunday,806.5
2009-06-07,Sunday,1249.75
2011-09-27,Tuesday,717.35
2010-10-10,Sunday,569.55
2007-09-08,Saturday,970.75
2012-02-09,Thursday,405.6
2009-06-08,Monday,604.5
2010-10-11,Monday,753.95
2010-10-12,Tuesday,647.65
2009-06-09,Tuesday,529.25
2007-09-07,Friday,821.25
2012-03-10,Saturday,770.15
2010-10-05,Tuesday,413.35
2007-09-06,Thursday,362.75
2012-02-03,Friday,770.6
2009-06-02,Tuesday,929.0
2010-10-06,Wednesday,557.15
2010-10-07,Thursday,515.1
2007-09-05,Wednesday,632.5
2010-10-08,Friday,1038.85
2011-12-24,Saturday,233.65
2009-06-03,Wednesday,685.25
2007-09-04,Tuesday,623.0
2011-05-03,Tuesday,732.1
2011-12-23,Friday,490.95
2009-06-04,Thursday,964.25
2007-09-03,Monday,808.25
2011-05-04,Wednesday,873.9
2009-06-05,Friday,1132.25
2011-12-27,Tuesday,305.65
2011-04-27,Wednesday,548.1
2011-12-26,Monday,335.05
2007-09-02,Sunday,1297.5
2010-03-03,Wednesday,329.7
2011-04-28,Thursday,594.85
2011-12-29,Thursday,420.85
2007-09-11,Tuesday,336.0
2009-06-10,Wednesday,881.75
2011-04-25,Monday,288.45
2007-09-10,Monday,453.5
2011-12-28,Wednesday,515.65
2009-06-11,Thursday,936.0
2011-04-26,Tuesday,506.15
2007-07-02,Monday,1091.25
2010-03-04,Thursday,474.0
2011-05-01,Sunday,1145.3
2011-09-21,Wednesday,587.65
2007-07-03,Tuesday,1199.0
2010-03-05,Friday,716.45
2011-09-22,Thursday,525.5
2011-05-02,Monday,564.95
2007-06-28,Thursday,1131.0
2010-03-06,Saturday,1099.45
2011-04-29,Friday,835.9
2011-09-19,Monday,819.2
2007-06-29,Friday,1109.0
2011-04-30,Saturday,1344.3
2011-09-20,Tuesday,703.4
2007-06-30,Saturday,1147.5
2009-11-01,Sunday,713.25
2010-04-29,Thursday,495.35
2011-09-17,Saturday,1115.15
2009-11-02,Monday,438.5
2007-07-01,Sunday,1220.25
2011-04-24,Sunday,747.85
2007-06-24,Sunday,1806.5
2011-09-18,Sunday,1326.45
2009-10-30,Friday,982.25
2011-04-23,Saturday,940.85
2007-06-25,Monday,792.0
2011-09-15,Thursday,538.25
2009-10-31,Saturday,330.5
2007-06-26,Tuesday,852.0
2010-04-28,Wednesday,285.4
2011-09-16,Friday,967.25
2011-04-16,Saturday,1206.6
2007-06-27,Wednesday,1139.25
2011-09-13,Tuesday,501.0
2009-11-05,Thursday,429.0
2011-04-15,Friday,844.0
2011-09-14,Wednesday,552.1
2009-11-06,Friday,487.0
2007-12-31,Monday,367.45
2008-01-02,Wednesday,315.45
2012-02-17,Friday,665.15
2011-04-18,Monday,180.25
2009-11-03,Tuesday,604.5
2012-02-18,Saturday,862.65
2007-12-29,Saturday,304.6
2011-04-17,Sunday,920.6
2009-11-04,Wednesday,420.0
2012-02-19,Sunday,564.9
2007-12-30,Sunday,396.7
2011-04-20,Wednesday,195.35
2009-11-07,Saturday,694.75
2012-02-20,Monday,500.8
2007-12-27,Thursday,356.0
2009-11-08,Sunday,527.25
2011-04-19,Tuesday,453.05
2012-02-13,Monday,292.25
2007-12-28,Friday,277.5
2011-04-22,Friday,778.2
2010-01-04,Monday,376.95
2007-12-24,Monday,393.5
2012-02-14,Tuesday,346.25
2011-04-21,Thursday,642.85
2010-01-03,Sunday,561.15
2012-02-15,Wednesday,323.3
2007-12-26,Wednesday,287.5
2010-01-02,Saturday,672.65
2010-05-19,Wednesday,471.0
2007-12-22,Saturday,528.4
2012-02-16,Thursday,464.7
2009-12-31,Thursday,326.8
2015-01-22,Saturday,345.0
2007-12-23,Sunday,403.9
2010-05-07,Friday,1020.95
2012-03-30,Friday,659.55
2008-05-01,Thursday,965.1
2010-01-08,Friday,775.0
2010-05-18,Tuesday,414.1
2012-03-29,Thursday,432.75
2007-10-21,Sunday,709.25
2010-01-07,Thursday,387.95
2012-03-28,Wednesday,585.8
2010-08-07,Saturday,596.65
2010-01-06,Wednesday,487.4
2007-10-20,Saturday,751.0
2011-03-04,Friday,654.6
2012-02-21,Tuesday,435.3
2010-02-28,Sunday,872.65
2008-05-02,Friday,993.95
2012-02-22,Wednesday,493.6
2011-03-05,Saturday,880.8
2007-10-15,Monday,286.25
2012-03-25,Sunday,496.2
2010-01-05,Tuesday,256.0
2011-02-28,Monday,308.85
2007-10-14,Sunday,705.5
2012-03-24,Saturday,206.75
2010-01-10,Sunday,311.95
2011-03-01,Tuesday,457.2
2007-10-13,Saturday,816.5
2012-03-27,Tuesday,258.95
2010-01-09,Saturday,610.45
2011-03-02,Wednesday,405.25
2007-10-12,Friday,356.25
2011-09-12,Monday,566.05
2008-12-23,Tuesday,321.25
2011-03-03,Thursday,458.95
2007-10-19,Friday,553.25
2011-09-11,Sunday,818.05
2011-02-24,Thursday,176.2
2008-12-22,Monday,504.5
2007-10-18,Thursday,399.0
2011-09-08,Thursday,650.25
2011-02-25,Friday,406.95
2008-12-19,Friday,541.0
2007-10-17,Wednesday,395.0
2011-09-07,Wednesday,1030.0
2011-02-26,Saturday,680.5
2008-12-18,Thursday,218.0
2007-10-16,Tuesday,204.5
2011-09-10,Saturday,988.6
2011-02-27,Sunday,508.35
2008-12-21,Sunday,269.25
2008-01-28,Monday,367.35
2011-09-09,Friday,1079.7
2008-12-20,Saturday,614.75
2010-05-27,Thursday,663.36
2011-09-04,Sunday,1209.9
2008-01-29,Tuesday,298.45
2008-12-15,Monday,287.37
2010-05-26,Wednesday,633.95
2011-09-03,Saturday,1070.1
2008-12-14,Sunday,285.0
2011-07-31,Sunday,898.7
2008-01-30,Wednesday,376.55
2011-09-06,Tuesday,897.45
2011-08-01,Monday,772.05
2008-12-17,Wednesday,324.25
2008-01-31,Thursday,141.5
2011-09-05,Monday,930.15
2008-12-16,Tuesday,236.75
2008-01-24,Thursday,263.75
2011-07-29,Friday,965.65
2011-12-01,Thursday,301.2
2011-07-30,Saturday,1181.15
2010-02-27,Saturday,839.4
2008-01-25,Friday,322.2
2011-12-02,Friday,708.4
2011-07-27,Wednesday,907.2
2008-01-26,Saturday,317.75
2010-02-09,Tuesday,397.35
2011-11-27,Sunday,308.1
2011-07-28,Thursday,904.05
2008-01-27,Sunday,279.25
2010-02-10,Wednesday,445.85
2011-11-28,Monday,143.0
2011-07-25,Monday,982.05
2008-06-17,Tuesday,871.0
2010-02-07,Sunday,622.65
2011-11-29,Tuesday,268.0
2008-06-16,Monday,609.0
2011-07-26,Tuesday,850.25
2010-02-08,Monday,354.8
2011-08-02,Tuesday,902.62
2011-11-30,Wednesday,551.65
2008-06-19,Thursday,1010.0
2010-02-13,Saturday,968.35
2011-11-22,Tuesday,580.0
2008-06-18,Wednesday,1317.4
2011-08-03,Wednesday,852.45
2010-02-14,Sunday,779.4
2011-11-23,Wednesday,1022.45
2008-02-01,Friday,590.45
2011-05-24,Tuesday,477.1
2010-02-11,Thursday,303.85
2011-11-25,Friday,484.9
2011-05-23,Monday,644.6
2008-02-02,Saturday,394.7
2010-02-12,Friday,399.9
2011-11-26,Saturday,825.95
2008-06-15,Sunday,1173.5
2011-05-20,Friday,786.25
2010-02-15,Monday,739.2
2012-02-26,Sunday,555.2
2011-05-19,Thursday,512.35
2010-02-16,Tuesday,482.55
2008-06-14,Saturday,1095.6
2012-02-25,Saturday,890.1
2009-10-09,Friday,700.25
2008-09-13,Saturday,849.25
2011-05-22,Sunday,1048.6
2012-02-24,Friday,898.95
2009-10-08,Thursday,448.25
2008-09-12,Friday,785.0
2011-05-21,Saturday,1331.55
2012-02-23,Thursday,669.8
2009-10-05,Monday,475.75
2008-09-11,Thursday,641.75
2011-05-16,Monday,208.15
2012-03-01,Thursday,398.25
2009-10-04,Sunday,666.75
2011-05-15,Sunday,512.05
2012-02-29,Wednesday,289.0
2008-09-10,Wednesday,316.0
2011-05-18,Wednesday,668.5
2012-02-28,Tuesday,334.0
2009-10-07,Wednesday,407.25
2012-02-27,Monday,272.9
2008-08-08,Friday,664.75
